meal_id,meal_name,meal_type,calories,protein_g,carbs_g,fat_g,dietary_tags
501,Scrambled Eggs with Spinach & Toast,Breakfast,450,30,35,20,vegetarian
502,Greek Yogurt with Berries & Nuts,Breakfast,400,25,30,20,vegetarian;gluten_free
503,Chicken Breast with Quinoa & Broccoli,Lunch,550,50,45,18,high_protein;gluten_free
504,Lentil Soup with Whole Wheat Bread,Lunch,480,22,70,10,vegan
505,Salmon with Sweet Potato & Asparagus,Dinner,600,45,50,22,
506,Tofu Stir-fry with Brown Rice,Dinner,520,25,65,16,vegan
507,Protein Shake (Whey),Snack,250,30,8,7,high_protein;vegetarian
508,Apple with Peanut Butter,Snack,300,8,35,16,vegan;gluten_free
509,Oatmeal with Protein Powder,Breakfast,500,35,70,9,vegetarian;high_protein
510,Tuna Salad Sandwich,Lunch,420,30,40,15,
511,Steak with Roasted Potatoes,Dinner,700,55,40,35,high_protein
512,Cottage Cheese with Peaches,Snack,220,25,18,5,vegetarian;gluten_free
513,Vegan Protein Shake (Pea),Snack,280,30,12,10,vegan;high_protein
514,Chickpea Curry with Rice,Dinner,580,20,80,18,vegan
515,Ground Turkey Bowl with Black Beans,Lunch,530,45,55,12,high_protein;gluten_free
516,Egg White Omelette with Veggies,Breakfast,350,30,20,15,vegetarian
517,Hard Boiled Eggs (3),Snack,210,18,2,15,vegetarian;gluten_free
518,Beef Jerky,Snack,150,25,5,3,high_protein
519,Cod with Lemon and Dill,Dinner,400,40,5,22,
520,Seitan "Steak" with Mashed Cauliflower,Dinner,480,40,30,20,vegan;high_protein
521,Rice Cakes with Avocado,Snack,250,5,30,12,vegan
522,Chicken Thighs with White Rice,Dinner,650,40,60,28,
523,Edamame,Snack,180,17,15,8,vegan;gluten_free
524,Black Bean Burgers on Bun,Lunch,500,25,60,18,vegan
525,Sardines in Olive Oil,Lunch,250,22,0,18,
526,Bagel with Cream Cheese,Breakfast,400,12,60,12,vegetarian
527,Protein Pancakes,Breakfast,480,40,50,14,vegetarian;high_protein
528,Shrimp Scampi with Zucchini Noodles,Dinner,450,35,15,25,
529,Caesar Salad with Grilled Chicken,Lunch,550,45,10,38,
530,Tempeh Bacon BLT,Lunch,480,28,45,20,vegan
531,Chocolate Milk (Post-Workout),Snack,350,15,50,9,vegetarian
532,Turkey Breast Sandwich,Lunch,450,40,45,12,
533,Mahi-Mahi with Mango Salsa,Dinner,520,45,40,18,
534,Almonds (Handful),Snack,200,7,7,16,vegan;gluten_free
535,Tofu Scramble,Breakfast,400,28,15,25,vegan
536,Kodiak Cakes,Breakfast,500,40,60,10,vegetarian;high_protein
537,Shepherd's Pie (Beef),Dinner,650,40,50,30,
538,Vegan Shepherd's Pie (Lentil),Dinner,600,25,70,22,vegan
539,Leftover Chicken Breast,Snack,200,40,0,4,high_protein;gluten_free
540,Beef and Broccoli Stir-fry,Dinner,580,45,40,25,
541,Chicken Noodle Soup,Lunch,350,25,40,10,
542,Clif Bar,Snack,250,10,45,5,vegetarian
543,RXBAR,Snack,210,12,24,9,gluten_free
544,Avocado Toast with Egg,Breakfast,380,20,25,20,vegetarian
545,Chicken Alfredo,Dinner,800,50,70,35,
546,Spaghetti with Meatballs,Dinner,750,40,80,30,
547,Veggie Omelette,Breakfast,400,25,10,28,vegetarian
548,Chicken Shawarma Bowl,Lunch,600,45,50,25,
549,Falafel Wrap,Lunch,550,20,70,20,vegan
550,Sushi (Salmon Roll),Dinner,450,20,60,10,
551,Miso Soup,Snack,80,6,5,2,vegan
552,Chicken Pot Pie,Dinner,700,30,60,40,
553,Protein Oats with Banana,Breakfast,550,35,80,10,vegetarian;high_protein
554,Tuna Steak with Asparagus,Dinner,450,50,5,25,
555,Quesadilla (Chicken & Cheese),Lunch,600,40,40,30,
556,Veggie Quesadilla,Lunch,550,20,50,28,vegetarian
557,Cashews (Handful),Snack,190,5,9,15,vegan;gluten_free
558,Greek Salad,Lunch,350,10,20,25,vegetarian
559,Caprese Salad,Snack,300,15,5,24,vegetarian;gluten_free
560,Breakfast Burrito,Breakfast,600,35,50,28,
561,Instant Noodles,Snack,380,8,55,14,
562,Pork Chops with Applesauce,Dinner,620,45,40,28,
563,Chicken Fajitas,Dinner,580,40,50,25,
564,Peanut Butter Sandwich,Snack,380,15,35,20,vegetarian
565,Fruit Smoothie,Snack,300,5,70,2,vegan
566,Protein Fruit Smoothie (Whey),Snack,400,35,55,5,vegetarian;high_protein
567,Cobb Salad,Lunch,650,45,10,50,
568,Lobster Roll,Dinner,500,25,40,25,
569,Fish and Chips,Dinner,900,40,90,40,
570,Cheeseburger,Dinner,700,40,45,40,
571,Veggie Burger,Dinner,550,20,55,25,vegan
572,Hot Dog,Snack,350,12,30,20,
573,Popcorn (Air-popped),Snack,150,5,30,2,vegan;gluten_free
574,Ice Cream (1 cup),Snack,300,5,35,16,vegetarian
575,Dark Chocolate (2 squares),Snack,150,2,10,12,vegan
576,Glass of Milk,Snack,150,8,12,8,vegetarian
577,Soy Milk,Snack,130,7,15,5,vegan
578,Chicken Wings (6),Snack,450,35,5,30,
579,Celery with Cream Cheese,Snack,150,3,5,13,vegetarian
580,Hummus with Pita Bread,Snack,350,12,45,15,vegan
581,Kale Chips,Snack,120,5,15,5,vegan;gluten_free
582,Biryani (Chicken),Dinner,700,40,80,25,
583,Pad Thai (Tofu),Dinner,650,25,90,22,vegan
584,Pho (Beef),Dinner,550,35,60,18,
585,Ramen (Pork),Dinner,680,30,70,30,
587,Enchiladas (Cheese),Dinner,600,25,50,35,vegetarian
588,French Toast,Breakfast,500,20,65,18,vegetarian
589,Waffles with Syrup,Breakfast,550,10,100,12,vegetarian
590,Granola Bar,Snack,200,8,25,8,vegetarian
591,Grapes (1 cup),Snack,100,1,27,0,vegan;gluten_free
592,Banana,Snack,105,1,27,0,vegan;gluten_free
593,Orange,Snack,60,1,15,0,vegan;gluten_free
594,Pizza (2 slices),Dinner,600,25,70,25,
595,Macaroni and Cheese,Dinner,550,20,60,25,vegetarian
596,Chili con Carne,Dinner,620,35,50,30,
597,Vegan Chili,Dinner,550,25,70,18,vegan
598,French Fries (medium),Snack,380,4,50,18,vegan
599,Onion Rings,Snack,400,5,45,22,vegetarian
600,Milkshake,Snack,500,10,70,20,vegetarian
601,Walnuts (Handful),Snack,190,4,4,18,vegan;gluten_free
602,Pistachios (Handful),Snack,160,6,8,13,vegan;gluten_free
603,Seaweed Snacks,Snack,50,4,2,3,vegan;gluten_free
604,Kefir,Snack,140,10,14,5,vegetarian
605,Kombucha,Snack,60,0,14,0,vegan
606,Kimchi,Snack,30,2,5,1,vegan;gluten_free
607,Sauerkraut,Snack,20,1,4,0,vegan;gluten_free
608,Bone Broth,Snack,40,9,0,0,gluten_free
609,Turkey Bacon,Breakfast,150,18,2,8,
610,Smoked Salmon Bagel,Breakfast,450,25,45,18,
611,Bison Burger,Dinner,650,50,45,30,high_protein
612,Elk Steak,Dinner,550,60,5,30,high_protein
613,Swordfish Steak,Dinner,480,45,0,32,
614,Tilapia with Lemon,Dinner,350,40,2,18,
615,Gyro (Lamb),Lunch,650,30,50,35,
616,Coconut Yogurt,Snack,180,2,10,14,vegan;gluten_free
617,Almond Milk,Snack,60,1,8,2,vegan
618,Oat Milk,Snack,120,3,16,5,vegan
619,Rice Milk,Snack,110,1,22,2,vegan
620,Hemp Milk,Snack,80,2,7,5,vegan
621,Egg Drop Soup,Lunch,150,10,15,5,
622,Hot and Sour Soup,Lunch,200,12,25,6,
623,French Onion Soup,Lunch,350,10,30,20,
6alue_counts(),
624,Gazpacho,Lunch,150,3,25,4,vegan
625,Borscht,Lunch,200,5,35,4,vegan
626,Pasta Salad,Lunch,450,15,50,20,vegetarian
627,Potato Salad,Snack,360,4,35,22,vegetarian
628,Coleslaw,Snack,150,1,15,10,vegetarian
629,Apple Pie,Snack,410,4,60,18,vegetarian
630,Cheesecake,Snack,400,6,30,28,vegetarian
631,Brownie,Snack,250,3,30,14,vegetarian
632,Croissant,Breakfast,230,5,26,12,vegetarian
633,Muffin (Blueberry),Breakfast,400,5,60,16,vegetarian
634,Donut (Glazed),Snack,260,3,31,14,vegetarian
635,Cinnamon Roll,Breakfast,480,7,60,24,vegetarian
636,Pretzel,Snack,200,5,40,2,vegan
637,Energy Drink (Sugar-Free),Snack,10,0,2,0,
638,Iced Coffee,Snack,140,2,25,3,vegetarian
639,Green Tea,Snack,0,0,0,0,vegan
640,Black Coffee,Snack,5,0,1,0,vegan
641,Watermelon Slices,Snack,90,2,21,0,vegan;gluten_free
642,Pineapple Chunks,Snack,80,1,20,0,vegan;gluten_free
643,Mango Slices,Snack,100,1,25,0,vegan;gluten_free
644,Cantaloupe Slices,Snack,60,1,14,0,vegan;gluten_free
645,Honeydew Melon,Snack,60,1,15,0,vegan;gluten_free
646,Kiwifruit,Snack,40,1,10,0,vegan;gluten_free
647,Peanut Butter Cups,Snack,210,5,24,11,vegetarian
648,Jelly Beans,Snack,140,0,37,0,
649,Gummy Bears,Snack,130,2,30,0,
650,Potato Chips,Snack,160,2,15,10,vegan
